Sno,states,District,Population
1,Andhra Pradesh,13,49378776
2,Arunachal Pradesh,26,1382611
3,Assam,33,31169272
4,Bihar,38,103804637
5,Chhattisgarh,27,25540196
6,Goa,2,1457723
7,Gujarat,33,60383628
8,Haryana,22,25353081
9,Himachal Pradesh,12,6856509
10,Jharkhand,24,32966238
11,Karnataka,30,61130704
12,Kerala,14,33387677
13,Madhya Pradesh,52,72597565
14,Maharashtra,36,112372972
15,Manipur,16,2721756
16,Meghalaya,11,2964007
17,Mizoram,8,1091014
18,Nagaland,11,1980602
19,Orissa,30,41947358
20,Punjab,22,27704236
21,Rajasthan,33,68621012
22,Sikkim,4,607688
23,Tamil Nadu,37,72138958
24,Telangana,33,35286757
25,Tripura,8,3671032
26,Uttar Pradesh,75,199581477
27,Uttarakhand,13,10116752
28,West Bengal,23,91347736
29,Andaman and Nicobar,3,379944
30,Chandigarh,1,1054686
31,Dadra and Nagar Haveli,1,342853
32,Daman and Diu,2,242911
33,Lakshadweep,1,64429
34,National Capital Territory of Delhi,11,16753235
35,Pondicherry,4,1244464
36,Ladakh,2,1247953
37,Jammu and Kashmir,22,12548926

